Region,Product,Sales,Units,Month,Year
Southwest,Monitor,13151,50,February,2022
Southeast,Phone,53688,106,April,2023
Northeast,Monitor,15871,60,April,2023
Midwest,Laptop,28954,35,January,2022
Midwest,Tablet,14987,49,November,2024
Midwest,Mouse,1959,33,November,2024
Central,Speaker,17748,86,February,2023
Southwest,Printer,8472,26,June,2024
South,Headphones,10310,64,March,2022
Midwest,Speaker,16428,78,October,2022
Midwest,Keyboard,9276,106,September,2023
South,Headphones,5664,36,February,2022
South,Phone,10889,21,June,2023
South,Webcam,6618,67,September,2022
Northeast,Printer,17649,58,December,2022
Northeast,Keyboard,6230,68,July,2023
East,Webcam,4712,52,January,2022
Northwest,Monitor,15117,58,January,2024
Central,Keyboard,7489,86,January,2022
Southwest,Keyboard,8563,104,March,2022
Northwest,Speaker,15484,75,July,2022
East,Mouse,2856,70,May,2022
Northwest,Keyboard,3692,44,May,2024
Midwest,Mouse,1064,25,December,2022
North,Phone,13329,26,June,2024
Northwest,Headphones,2965,17,November,2022
Northeast,Mouse,1761,38,June,2024
South,Webcam,4579,43,August,2023
South,Speaker,9514,46,November,2023
Northwest,Printer,22665,75,February,2022
Northeast,Headphones,12637,81,February,2022
Southeast,Headphones,13098,84,March,2022
Midwest,Speaker,11224,55,April,2022
Midwest,Webcam,6305,63,February,2024
South,Printer,25193,81,April,2024
Central,Mouse,2524,71,February,2024
East,Phone,46597,92,March,2024
West,Printer,4807,15,February,2023
Northeast,Headphones,4240,23,July,2024
North,Monitor,3241,11,April,2023
Northwest,Mouse,3052,77,January,2023
Northwest,Speaker,5127,24,January,2022
Southwest,Keyboard,5080,58,August,2024
South,Printer,31961,105,June,2022
Southwest,Mouse,671,14,August,2023
West,Laptop,69855,87,May,2022
East,Tablet,29081,96,October,2023
Northeast,Tablet,21615,69,June,2022
Central,Mouse,1939,57,June,2023
Midwest,Keyboard,5296,56,August,2022
West,Headphones,15865,103,January,2024
Northwest,Speaker,10829,54,March,2022
West,Speaker,10390,51,September,2022
Southeast,Speaker,7889,36,December,2022
Northwest,Webcam,8600,90,November,2023
Midwest,Tablet,21337,69,February,2024
North,Phone,14213,28,December,2023
Northwest,Headphones,4715,29,March,2023
East,Mouse,2122,46,July,2024
Southeast,Keyboard,8680,103,March,2023
Southeast,Webcam,10364,106,December,2023
North,Mouse,1226,25,September,2023
Midwest,Monitor,3909,13,July,2024
Midwest,Headphones,15852,105,September,2022
East,Webcam,9996,106,June,2023
Midwest,Phone,30785,61,April,2022
Northeast,Phone,7419,14,March,2022
East,Printer,21818,72,March,2024
Southeast,Speaker,16603,81,July,2023
Northwest,Tablet,29702,97,April,2024
North,Webcam,3201,28,October,2022
South,Phone,16952,32,July,2022
Central,Headphones,11996,77,October,2024
Central,Laptop,8860,10,September,2022
Southeast,Keyboard,7881,87,February,2023
Southwest,Headphones,10955,67,April,2023
Central,Monitor,14266,54,June,2023
Northwest,Headphones,10740,68,December,2024
Southeast,Laptop,65308,81,December,2022
Midwest,Laptop,39418,49,March,2023
Midwest,Laptop,54106,67,March,2022
South,Monitor,5490,21,September,2024
South,Laptop,67980,84,April,2022
Northeast,Mouse,966,20,January,2022
East,Keyboard,6195,75,June,2023
West,Headphones,4361,28,February,2023
South,Tablet,29626,98,January,2022
North,Headphones,4018,24,March,2022
Southwest,Printer,7146,21,July,2022
Southwest,Monitor,18129,71,March,2024
Midwest,Mouse,2696,61,December,2023
Midwest,Tablet,15259,50,February,2022
Southeast,Webcam,6837,72,April,2023
Southeast,Mouse,3658,93,October,2024
Central,Headphones,2226,11,September,2022
West,Keyboard,6929,85,September,2023
West,Laptop,48095,59,August,2023
North,Webcam,9708,100,May,2023
West,Tablet,6688,22,December,2023
Northwest,Mouse,3508,91,January,2024
North,Mouse,2431,67,June,2022
Northeast,Speaker,15913,75,December,2024
Southwest,Headphones,14206,91,July,2022
South,Speaker,8767,43,May,2023
Southeast,Speaker,13438,63,September,2024
Northeast,Printer,27669,89,August,2022
Northeast,Tablet,15074,50,May,2023
Southeast,Mouse,2510,78,March,2023
East,Tablet,33047,107,March,2024
West,Phone,43852,86,April,2024
Northwest,Tablet,30676,101,September,2023
Midwest,Headphones,8636,52,October,2022
Central,Keyboard,2062,25,May,2023
North,Speaker,4248,19,November,2022
North,Tablet,9286,29,November,2024
East,Tablet,3937,13,November,2023
West,Printer,4024,12,November,2023
North,Mouse,3046,98,February,2024
Southeast,Printer,11358,35,June,2022
Central,Speaker,17822,88,February,2022
East,Headphones,15372,98,March,2023
South,Laptop,9105,11,December,2024
South,Phone,37800,75,November,2024
North,Keyboard,3289,30,January,2022
Midwest,Keyboard,6917,86,January,2024
Midwest,Headphones,11408,76,January,2024
Southwest,Monitor,6841,25,June,2024
East,Tablet,3984,10,March,2024
Southwest,Mouse,732,17,January,2022
West,Phone,41557,83,May,2023
Midwest,Laptop,32449,40,April,2023
West,Monitor,27165,106,December,2022
Northeast,Mouse,2863,76,October,2022
South,Printer,16880,54,April,2022
Central,Webcam,1105,12,August,2024
Southeast,Phone,45639,90,November,2023
East,Mouse,2834,76,September,2024
West,Laptop,23389,28,March,2022
North,Speaker,7165,33,June,2024
Northwest,Webcam,4423,47,December,2023
Southwest,Headphones,1692,10,August,2024
Northwest,Printer,14535,48,May,2024
Southwest,Printer,18634,62,July,2024
Southwest,Headphones,2652,12,July,2022
North,Headphones,9895,62,August,2024
Southeast,Laptop,84224,105,June,2023
North,Mouse,2740,72,September,2023
Midwest,Tablet,11997,39,September,2024
Midwest,Keyboard,8046,90,December,2024
West,Webcam,10284,107,March,2023
Northwest,Speaker,16606,80,February,2022
Southeast,Printer,10070,33,February,2022
North,Webcam,3231,26,September,2022
West,Tablet,6366,18,March,2022
Central,Tablet,21781,70,July,2023
South,Keyboard,6871,75,April,2024
Southwest,Mouse,2663,62,February,2024
Central,Webcam,5727,56,September,2023
Midwest,Laptop,84780,105,October,2023
East,Tablet,14784,47,March,2023
Northwest,Tablet,22839,76,November,2023
West,Laptop,27267,33,April,2024
Southwest,Webcam,7528,79,January,2024
Northwest,Phone,33672,66,September,2022
Midwest,Webcam,5924,55,July,2022
South,Phone,37370,74,July,2023
Northeast,Webcam,3262,33,December,2023
Midwest,Webcam,4366,40,June,2023
North,Printer,15531,50,August,2024
Midwest,Mouse,1354,41,September,2023
South,Webcam,10064,103,September,2023
North,Printer,29815,98,July,2023
Southwest,Webcam,5396,50,June,2024
Southeast,Laptop,10658,13,September,2024
West,Laptop,40684,50,February,2022
South,Printer,3345,11,November,2022
Midwest,Tablet,32510,107,September,2023
South,Phone,20458,39,March,2022
North,Mouse,1099,15,January,2022
Northwest,Webcam,5732,61,May,2022
Northwest,Headphones,3492,19,July,2024
North,Printer,5197,15,April,2024
East,Headphones,12441,77,February,2022
West,Speaker,4046,19,January,2023
Midwest,Tablet,18697,60,April,2024
Central,Monitor,8320,33,November,2024
Midwest,Mouse,1239,38,March,2022
Midwest,Webcam,2348,24,April,2023
Midwest,Printer,25390,82,July,2022
Northeast,Webcam,9002,92,October,2023
Southeast,Phone,21933,43,October,2024
Southwest,Monitor,14229,56,June,2022
North,Speaker,17093,84,August,2023
South,Webcam,4048,35,June,2024
Northeast,Mouse,3042,72,March,2024
Southeast,Webcam,4354,39,October,2022
Northwest,Monitor,13243,52,March,2024
Southwest,Printer,27569,90,June,2022
Central,Headphones,5874,35,February,2023
Southeast,Laptop,20514,25,January,2022
Central,Webcam,9502,104,December,2023
Southwest,Mouse,1745,46,July,2023
West,Speaker,21436,105,November,2024
East,Tablet,27963,92,December,2024
Southwest,Headphones,7418,45,March,2023
Central,Speaker,6619,30,September,2022
Midwest,Printer,6233,19,August,2024
Northeast,Webcam,7669,84,January,2022
Midwest,Speaker,9355,46,July,2024
Southwest,Webcam,2625,28,June,2024
South,Headphones,12111,75,October,2022
Midwest,Phone,53825,107,August,2023
Midwest,Mouse,3337,80,November,2022
Northwest,Keyboard,5536,58,October,2022
Northwest,Headphones,4269,22,October,2022
Midwest,Mouse,2474,74,October,2022
Southwest,Monitor,17932,71,January,2022
East,Speaker,12870,60,September,2023
South,Printer,23792,79,January,2023
Northwest,Headphones,15620,103,May,2024
North,Mouse,3301,108,September,2024
West,Webcam,9119,93,March,2023
Midwest,Speaker,7603,38,October,2022
Midwest,Printer,30002,99,February,2022
Midwest,Monitor,13820,55,November,2024
North,Laptop,12043,15,March,2022
West,Phone,6961,12,December,2022
Midwest,Printer,24480,81,December,2024
West,Phone,15924,30,October,2022
Southwest,Mouse,1398,22,October,2023
East,Phone,15131,29,April,2024
Midwest,Tablet,17348,57,May,2023
South,Mouse,1366,28,October,2023
Central,Speaker,8368,38,July,2022
Southwest,Monitor,17429,66,November,2024
West,Keyboard,7607,92,April,2024
Northwest,Webcam,6591,68,January,2023
South,Mouse,922,12,January,2023
South,Webcam,4141,37,October,2022
East,Laptop,23969,29,November,2023
Southeast,Tablet,26353,87,March,2023
Midwest,Phone,24831,48,July,2022
Central,Headphones,10558,67,September,2022
North,Printer,24902,80,April,2023
East,Printer,33125,109,February,2023
Midwest,Webcam,8752,89,February,2023
North,Headphones,2449,12,September,2022
South,Speaker,21581,104,June,2024
Northeast,Webcam,3996,43,January,2024
Central,Tablet,19231,62,July,2022
South,Webcam,5804,63,January,2023
Midwest,Headphones,15345,102,January,2023
Northwest,Tablet,25619,85,February,2022
Southeast,Mouse,2473,67,April,2023
North,Mouse,949,10,January,2024
South,Tablet,31377,103,April,2022
South,Speaker,12967,60,August,2024
West,Headphones,15973,100,February,2023
Southwest,Keyboard,7687,93,January,2023
Southeast,Headphones,5556,33,July,2024
West,Monitor,9954,38,November,2023
North,Tablet,22150,73,October,2022
Central,Monitor,26599,103,June,2022
Midwest,Speaker,13022,63,March,2024
South,Mouse,673,12,January,2023
Central,Mouse,2546,60,July,2023
Midwest,Speaker,17734,84,October,2024
Northeast,Monitor,14751,56,March,2023
West,Webcam,7365,77,May,2024
East,Monitor,21991,85,January,2024
North,Printer,33301,109,August,2024
Northwest,Headphones,8496,51,December,2024
Northwest,Mouse,3943,109,August,2022
Central,Laptop,75223,94,January,2023
West,Mouse,2332,59,December,2023
North,Tablet,30646,99,October,2022
Central,Webcam,3947,39,February,2022
Northeast,Keyboard,5609,60,January,2024
Northeast,Phone,49923,99,May,2024
Northeast,Phone,28383,55,January,2022
Midwest,Phone,27193,53,April,2024
West,Phone,46311,92,February,2022
Northwest,Tablet,10867,36,May,2022
Southeast,Speaker,18157,87,December,2023
South,Tablet,26866,88,September,2023
Midwest,Mouse,3389,106,August,2022
South,Webcam,2624,19,January,2023
Southeast,Printer,19053,62,September,2022
Southeast,Monitor,9657,35,December,2024
Southwest,Printer,7256,24,October,2024
Southwest,Speaker,17057,82,February,2022
West,Headphones,4447,28,April,2022
Southeast,Monitor,15159,57,July,2024
Midwest,Speaker,22510,108,October,2022
South,Tablet,22971,75,June,2024
Northwest,Tablet,17074,56,November,2024
Central,Tablet,13579,45,January,2022
Southwest,Monitor,19988,77,November,2023
Northwest,Printer,32622,107,September,2024
North,Tablet,4840,13,March,2022
Midwest,Keyboard,2455,24,March,2024
Northeast,Speaker,9241,46,August,2024
Central,Mouse,3256,103,August,2024
East,Printer,29329,96,April,2023
Northwest,Speaker,11716,58,June,2024
Northwest,Monitor,16438,63,November,2023
Northeast,Headphones,6532,42,November,2024
West,Tablet,25506,83,May,2024
North,Printer,23582,76,July,2023
Northeast,Mouse,3643,98,June,2022
Central,Webcam,5931,58,June,2024
Midwest,Headphones,9754,59,July,2023
East,Mouse,1264,26,August,2022
Northeast,Printer,21362,68,April,2024
Central,Keyboard,1595,16,March,2024
North,Keyboard,8736,108,July,2024
Northwest,Keyboard,3747,40,March,2023
Central,Mouse,2329,62,December,2022
Northeast,Monitor,11090,41,May,2024
South,Laptop,44879,56,July,2022
South,Monitor,13938,55,January,2023
East,Webcam,4170,42,May,2024
South,Monitor,13041,50,November,2022
South,Printer,23080,76,July,2022
Northeast,Headphones,8225,54,May,2023
Southwest,Tablet,17504,58,February,2024
Midwest,Monitor,22681,87,September,2023
South,Phone,12005,24,January,2024
Southwest,Webcam,4333,40,September,2022
North,Laptop,48714,60,January,2023
Southwest,Phone,42630,84,February,2024
Southwest,Tablet,32512,108,March,2022
South,Mouse,3612,105,June,2023
Northwest,Mouse,2980,96,March,2024
Northwest,Monitor,13395,51,February,2022
Northeast,Printer,11263,36,May,2023
East,Tablet,32700,108,January,2024
North,Printer,21471,70,March,2023
Central,Mouse,3369,104,May,2023
East,Printer,19383,64,November,2023
East,Mouse,3138,99,December,2022
Central,Laptop,10251,12,January,2024
East,Phone,8470,15,August,2022
West,Monitor,17163,67,March,2023
Midwest,Webcam,5325,51,April,2023
Northeast,Tablet,11168,37,January,2023
North,Webcam,6181,68,May,2024
East,Printer,10040,32,June,2024
North,Webcam,2752,24,September,2023
Midwest,Printer,6434,20,January,2024
Southwest,Tablet,11848,39,June,2023
Northeast,Printer,22559,75,May,2022
Northwest,Speaker,4107,17,September,2024
Midwest,Mouse,3154,101,August,2024
Northwest,Phone,28832,57,November,2023
East,Mouse,2399,63,March,2024
West,Laptop,28558,35,November,2024
East,Printer,6064,20,February,2023
Northeast,Headphones,9244,55,June,2023
Northwest,Keyboard,4902,59,February,2024
West,Headphones,13149,86,November,2024
East,Laptop,47296,58,March,2023
Southeast,Printer,26318,87,June,2023
Southwest,Monitor,4550,16,February,2022
North,Phone,10788,20,August,2024
North,Headphones,4255,23,October,2023
Southwest,Speaker,18075,88,October,2024
Northeast,Webcam,2838,26,July,2024
West,Laptop,71286,89,June,2022
East,Webcam,4144,41,October,2023
Southwest,Webcam,4835,47,December,2023
Central,Webcam,2550,19,January,2024
Southwest,Mouse,885,17,November,2022
West,Monitor,12793,49,November,2022
Midwest,Headphones,4919,30,January,2023
North,Mouse,3164,89,December,2022
North,Mouse,2067,56,April,2024
Northwest,Tablet,32195,107,December,2024
South,Monitor,12187,46,January,2022
East,Webcam,7377,72,February,2023
Northwest,Phone,42168,83,December,2023
Northwest,Mouse,1020,22,January,2022
Midwest,Keyboard,4979,54,May,2023
Southwest,Headphones,16096,107,March,2023
South,Headphones,12844,80,November,2024
Southeast,Headphones,13521,86,September,2023
East,Keyboard,8314,99,March,2022
Northeast,Headphones,12932,86,January,2023
East,Tablet,22623,75,July,2024
East,Laptop,64345,80,September,2022
Northwest,Webcam,4438,48,January,2023
Midwest,Headphones,3530,17,June,2022
Northeast,Laptop,86378,107,November,2023
Northwest,Phone,9291,17,July,2023
West,Mouse,2432,80,May,2022
North,Speaker,21040,102,November,2024
Northwest,Printer,14916,49,December,2022
Northwest,Keyboard,6662,76,February,2023
South,Speaker,2244,11,October,2022
East,Webcam,6837,73,December,2024
Central,Webcam,8879,90,November,2023
Northwest,Laptop,52014,65,September,2024
East,Speaker,13022,65,August,2024
East,Mouse,872,19,July,2022
Northwest,Webcam,7265,79,June,2024
West,Speaker,19265,93,July,2023
Southwest,Laptop,24059,29,January,2023
Midwest,Tablet,5457,16,September,2023
East,Tablet,6227,18,June,2022
South,Monitor,17097,68,April,2022
Northeast,Monitor,17148,67,April,2022
Southwest,Keyboard,7868,94,April,2023
North,Monitor,10165,39,June,2023
North,Laptop,60956,75,June,2023
Midwest,Laptop,41712,52,August,2024
North,Laptop,39449,49,April,2022
Southwest,Keyboard,1559,12,July,2024
South,Speaker,21181,105,June,2024
Northwest,Monitor,21233,82,May,2024
Southeast,Tablet,23447,75,October,2023
Southwest,Headphones,14386,92,November,2024
South,Headphones,11766,77,December,2024
Northeast,Tablet,24040,77,July,2022
North,Keyboard,6786,79,January,2024
South,Keyboard,1833,12,October,2022
North,Mouse,3321,78,April,2022
South,Headphones,16267,102,January,2023
Central,Webcam,9829,103,September,2023
Northwest,Tablet,3841,11,November,2022
Northeast,Printer,11254,37,July,2022
South,Speaker,13320,66,September,2022
South,Laptop,14662,18,February,2024
East,Phone,44328,88,March,2022
Southwest,Tablet,8450,27,July,2023
Southeast,Tablet,28570,94,August,2024
Midwest,Phone,53828,107,June,2024
South,Tablet,4495,13,June,2023
Northwest,Mouse,1971,61,October,2023
East,Mouse,901,23,December,2022
West,Laptop,64299,80,March,2024
South,Keyboard,1354,12,February,2024
Northwest,Tablet,17856,57,November,2022
Central,Printer,6164,19,May,2022
Southeast,Headphones,16618,108,February,2023
Northwest,Monitor,16573,64,December,2023
Northeast,Laptop,13795,17,July,2024
South,Phone,52634,104,February,2022
Midwest,Monitor,14969,57,October,2023
Central,Mouse,2928,77,March,2023
Southeast,Printer,11124,36,April,2024
Midwest,Phone,17769,34,March,2023
Southeast,Monitor,6914,26,April,2024
Midwest,Tablet,29076,94,February,2022
South,Phone,6370,12,February,2023
Southwest,Printer,17450,58,March,2024
Midwest,Tablet,25110,83,March,2022
South,Keyboard,2293,20,October,2022
Southwest,Mouse,1208,10,January,2022
East,Tablet,26896,88,September,2022
Northwest,Speaker,5832,26,February,2022
Northeast,Mouse,2787,86,February,2024
Northwest,Laptop,69711,86,March,2024
South,Phone,49644,98,September,2023
South,Mouse,1855,54,July,2022
Southwest,Speaker,17506,84,November,2023
North,Laptop,33847,42,January,2024
Northwest,Tablet,20905,67,August,2022
Southeast,Monitor,23605,92,February,2022
Southeast,Printer,13898,46,January,2024
South,Monitor,6062,24,September,2022
Southwest,Monitor,20639,82,April,2024
Southeast,Headphones,11104,73,February,2024
South,Webcam,5612,62,August,2024
East,Tablet,20458,65,September,2024
North,Keyboard,4404,55,October,2024
Southeast,Printer,20069,66,July,2022
Southeast,Webcam,9732,101,September,2024
East,Keyboard,8131,101,April,2022
East,Monitor,3953,13,November,2024
East,Laptop,29525,36,May,2024
South,Headphones,5882,35,July,2024
Southeast,Speaker,14064,68,February,2024
North,Laptop,37629,47,May,2024
Southeast,Speaker,19912,98,November,2022
Southeast,Tablet,3922,12,April,2023
Southeast,Speaker,14568,70,June,2022
North,Printer,11635,38,January,2023
South,Mouse,463,13,May,2022
Northeast,Tablet,9738,31,June,2023
Midwest,Headphones,11846,78,December,2023
Central,Speaker,14171,68,July,2022
East,Mouse,2871,89,January,2023
North,Monitor,10142,39,December,2022
Midwest,Phone,14441,28,May,2022
Central,Keyboard,4324,50,April,2023
Central,Mouse,2898,76,January,2022
North,Laptop,62439,78,May,2022
Midwest,Phone,14044,27,September,2024
North,Laptop,87015,108,September,2024
Southeast,Speaker,18478,91,February,2024
Central,Tablet,24065,79,June,2023
West,Tablet,19693,63,August,2024
East,Mouse,3299,81,May,2024
Midwest,Webcam,8410,83,December,2024
Southwest,Webcam,4895,52,January,2024
Northwest,Phone,7215,13,July,2024
East,Speaker,9795,46,November,2022
Southeast,Headphones,8182,50,September,2022
Northwest,Speaker,12540,58,March,2022
East,Monitor,11872,47,January,2022
Northeast,Tablet,7864,24,March,2022
Southeast,Headphones,6400,38,June,2022
Midwest,Speaker,9216,42,September,2022
Southeast,Printer,16757,54,September,2024
South,Tablet,10299,32,October,2022
East,Speaker,16202,80,February,2023
Southeast,Monitor,26269,103,July,2022
South,Headphones,2434,16,February,2022
Northwest,Speaker,9344,45,December,2024
Northeast,Laptop,78470,97,September,2022
East,Headphones,10646,66,August,2022
Northwest,Headphones,12283,77,July,2023
South,Speaker,16489,79,June,2024
Northwest,Monitor,6999,26,February,2022
Southeast,Webcam,5121,49,April,2022
Southeast,Webcam,5543,59,April,2023
South,Mouse,2833,81,November,2024
South,Printer,8870,29,August,2023
Southwest,Mouse,1946,32,February,2024
West,Mouse,933,24,July,2022
Midwest,Webcam,7186,70,September,2023
West,Phone,30472,59,October,2024
Central,Speaker,14970,71,July,2022
Southwest,Phone,13265,25,March,2024
Midwest,Webcam,8476,87,April,2023
Northeast,Mouse,3013,73,July,2022
South,Keyboard,3438,33,September,2023
North,Phone,49523,99,January,2024
East,Monitor,3747,11,October,2024
East,Laptop,82532,102,August,2023
Northeast,Tablet,28430,93,September,2024
North,Monitor,6687,25,July,2023
Midwest,Phone,42681,85,October,2022
Northwest,Speaker,5076,23,November,2023
Central,Phone,10580,20,April,2023
Central,Speaker,8801,40,March,2023
North,Phone,50196,99,February,2023
South,Keyboard,6061,65,December,2022
East,Tablet,25415,82,January,2024
Southeast,Keyboard,7157,78,April,2023
West,Laptop,64230,80,June,2022
Midwest,Keyboard,7053,83,November,2024
Southwest,Webcam,8293,83,July,2023
Southwest,Speaker,5735,28,November,2022
Northeast,Keyboard,5303,60,September,2022
East,Speaker,13766,64,October,2023
West,Keyboard,5907,63,July,2024
North,Tablet,15775,51,November,2024
Central,Speaker,19002,92,April,2022
West,Tablet,24652,80,June,2023
Northwest,Phone,47635,94,March,2024
Northeast,Webcam,3506,29,March,2023
Midwest,Laptop,14046,17,July,2022
Northwest,Printer,3104,10,August,2023
Northwest,Laptop,49606,61,February,2024
Central,Printer,15036,47,May,2024
South,Printer,23164,74,November,2023
South,Mouse,1393,31,April,2024
Southwest,Phone,19087,37,December,2022
South,Mouse,1648,28,May,2024
Northeast,Headphones,6666,39,October,2022
North,Printer,17650,56,June,2022
West,Mouse,1271,20,April,2022
South,Speaker,12880,64,August,2022
North,Monitor,10837,43,May,2023
North,Speaker,12405,60,April,2022
Northeast,Webcam,9011,95,December,2024
Central,Monitor,20986,83,April,2022
Southeast,Mouse,2746,81,April,2023
Northeast,Speaker,14604,71,February,2023
Midwest,Tablet,5782,17,December,2024
Midwest,Webcam,5893,62,May,2022
Midwest,Printer,24336,80,November,2022
Midwest,Keyboard,2913,31,February,2023
East,Mouse,1373,42,October,2024
South,Headphones,16561,108,February,2023
Northwest,Phone,21552,42,July,2023
Southeast,Keyboard,6454,80,November,2023
Midwest,Laptop,60370,75,November,2023
Southeast,Tablet,26538,87,August,2024
East,Phone,19774,39,March,2023
Central,Phone,32983,64,March,2023
Northeast,Printer,19122,63,June,2023
Northeast,Monitor,21402,85,January,2024
South,Tablet,13878,43,December,2022
Central,Monitor,26347,102,November,2024
Midwest,Phone,52757,105,May,2022
Southeast,Headphones,9224,61,July,2024
Central,Printer,10266,34,September,2024
Southeast,Laptop,8897,10,March,2024
Central,Printer,24933,83,March,2022
South,Keyboard,1262,12,January,2024
South,Headphones,10451,68,September,2022
East,Printer,14275,47,August,2023
East,Mouse,2578,61,May,2023
North,Printer,25786,83,September,2022
Northwest,Keyboard,9285,109,June,2024
South,Monitor,22086,88,May,2024
North,Mouse,2198,43,October,2022
West,Keyboard,5103,58,August,2023
Central,Speaker,15548,77,August,2024
North,Mouse,1084,27,March,2023
Northwest,Printer,30108,98,June,2024
Midwest,Phone,13156,25,December,2023
West,Mouse,3739,92,January,2022
Southwest,Laptop,61778,76,February,2022
West,Keyboard,8307,102,February,2024
North,Phone,51848,103,April,2023
South,Phone,28437,55,September,2022
South,Mouse,1714,38,July,2022
Southwest,Laptop,55802,69,March,2024
North,Speaker,8184,40,October,2023
Southwest,Headphones,5949,34,December,2024
South,Tablet,23752,77,April,2024
Northwest,Mouse,2276,45,October,2024
Midwest,Webcam,4545,42,February,2022
Southeast,Printer,11111,34,April,2023
Midwest,Laptop,82480,103,March,2023
West,Printer,14827,47,October,2024
Northwest,Monitor,5935,23,October,2022
Northwest,Monitor,4566,17,October,2023
East,Webcam,8643,86,August,2022
West,Tablet,15795,52,May,2024
North,Headphones,4014,22,April,2023
East,Webcam,7059,69,December,2024
Central,Tablet,13589,45,October,2023
North,Printer,10892,36,August,2023
East,Keyboard,2192,21,June,2022
Southwest,Webcam,3240,26,April,2022
Northwest,Webcam,4059,34,February,2022
North,Phone,29409,57,May,2023
Southwest,Speaker,9967,45,May,2023
Southwest,Headphones,2173,11,April,2024
Northeast,Mouse,2117,66,September,2024
South,Headphones,2326,15,January,2024
South,Laptop,37574,46,March,2022
North,Phone,30088,60,November,2024
North,Printer,9884,31,April,2023
Northeast,Headphones,4802,26,April,2023
Southwest,Headphones,10090,61,December,2024
North,Speaker,12316,58,August,2022
Midwest,Speaker,15762,78,October,2023
Northwest,Headphones,9660,58,September,2023
Northeast,Laptop,26647,33,May,2023
East,Speaker,12433,58,October,2024
West,Tablet,31576,103,July,2022
West,Headphones,9303,62,April,2024
Northeast,Speaker,2484,10,March,2024
East,Phone,43841,86,July,2022
Northeast,Tablet,8117,24,January,2023
Northeast,Speaker,9158,45,April,2023
Midwest,Tablet,21341,70,January,2024
Southwest,Headphones,12353,78,May,2022
Central,Keyboard,3146,39,May,2022
Southwest,Headphones,11466,72,April,2022
North,Speaker,19426,94,November,2024
Northwest,Keyboard,9533,107,September,2022
Northwest,Monitor,20358,78,February,2024
Central,Webcam,5999,63,September,2022
East,Webcam,3835,42,August,2022
South,Phone,7772,15,March,2022
Southeast,Mouse,2810,91,November,2022
Central,Headphones,12416,82,March,2022
Southwest,Keyboard,8065,99,April,2022
Midwest,Keyboard,2702,29,August,2024
South,Keyboard,5911,65,February,2024
Southeast,Webcam,4310,40,April,2022
West,Phone,19194,37,April,2024
West,Monitor,20546,79,September,2023
West,Keyboard,7603,92,September,2024
Southwest,Keyboard,8017,92,August,2022
Southeast,Webcam,7499,76,February,2023
Midwest,Headphones,4637,29,June,2022
Midwest,Monitor,20037,77,May,2023
Southwest,Printer,24785,80,March,2023
Midwest,Keyboard,3893,48,April,2024
Central,Printer,9137,29,January,2022
Midwest,Speaker,2456,12,May,2022
Midwest,Mouse,1592,31,November,2022
Northeast,Monitor,5260,18,October,2022
Northeast,Speaker,5351,24,February,2023
Southeast,Phone,53598,107,April,2024
Northwest,Webcam,4428,41,June,2024
Southeast,Keyboard,2359,18,April,2024
Central,Headphones,2758,16,February,2023
Northwest,Speaker,22254,107,November,2023
Central,Speaker,7107,33,November,2022
West,Speaker,5475,23,November,2022
Central,Mouse,3278,105,January,2022
East,Headphones,16085,105,July,2024
Southwest,Tablet,19076,63,November,2023
Central,Tablet,18907,61,March,2022
Midwest,Printer,23440,78,February,2023
Central,Tablet,25598,83,February,2022
Midwest,Laptop,20991,25,June,2024
East,Printer,6816,21,October,2022
Northwest,Phone,18910,37,November,2023
Southwest,Monitor,27464,107,January,2023
Midwest,Webcam,9353,95,October,2023
South,Webcam,10186,104,March,2024
Northwest,Speaker,3222,16,April,2023
West,Phone,7596,15,July,2023
Southeast,Phone,11641,23,August,2022
Southwest,Tablet,15356,48,June,2024
Southwest,Mouse,1640,49,March,2024
Northeast,Printer,23754,79,December,2024
North,Monitor,11596,46,October,2022
West,Laptop,50012,62,February,2024
South,Laptop,62790,78,November,2024
Northwest,Phone,37709,75,January,2024
West,Printer,20603,66,February,2022
Midwest,Keyboard,8936,104,April,2023
Central,Mouse,3621,98,July,2023
South,Speaker,17140,85,January,2023
West,Speaker,10178,48,May,2022
Southwest,Monitor,20496,81,April,2022
Midwest,Phone,24139,48,April,2023
Southwest,Phone,22750,44,July,2023
Central,Phone,42749,85,January,2022
West,Laptop,57077,71,August,2022
Southeast,Speaker,7071,33,October,2024
Central,Monitor,21149,84,January,2024
Southeast,Phone,46195,92,April,2022
Central,Webcam,4337,38,February,2022
North,Tablet,16986,54,March,2023
South,Headphones,11167,70,November,2022
Northeast,Webcam,2965,22,August,2022
Northwest,Printer,12849,42,September,2023
South,Monitor,20872,81,November,2024
Northwest,Mouse,1475,41,October,2022
Central,Laptop,84289,105,December,2024
Southwest,Printer,11979,39,March,2022
Midwest,Monitor,5406,20,May,2024
Central,Webcam,10015,103,January,2022
North,Laptop,25838,32,June,2022
Northwest,Mouse,2013,64,July,2022
Southeast,Laptop,54541,67,November,2022
Northwest,Printer,12686,40,May,2024
West,Keyboard,3189,29,September,2022
West,Printer,13575,45,September,2023
North,Headphones,2631,12,April,2023
West,Headphones,6848,42,October,2024
Northwest,Speaker,16350,78,March,2023
West,Keyboard,2350,17,April,2024
Northwest,Headphones,8943,56,March,2022
